Factor,Level,Accuracy,CI_Lower,CI_Upper,N
difficulty,easy,0.0,0.0,0.0,4
difficulty,medium,0.0,0.0,0.0,6
prompt_type,direct,0.0,0.0,0.0,10
rendering_style,normal,0.0,0.0,0.0,4
rendering_style,sketchy_extreme,0.0,0.0,0.0,3
rendering_style,sketchy_medium,0.0,0.0,0.0,3
adversarial_severity,medium,0.0,0.0,0.0,4
corruption_severity,0,0.0,0.0,0.0,2
corruption_severity,1,0.0,0.0,0.0,1
corruption_severity,3,0.0,0.0,0.0,2
corruption_severity,5,0.0,0.0,0.0,2
corruption_severity,20,0.0,0.0,0.0,1
corruption_severity,50,0.0,0.0,0.0,1
corruption_severity,80,0.0,0.0,0.0,1
